order_id,restaurant_id,food_item,order_time,delivery_time,delivery_distance,order_qty,order_value,delivery_method,traffic_condition,weather_condition,delivery_time_actual,delivery_delay,route_taken,customer_id,age,gender,location,order_history,customer_rating,cuisine,restaurant_name,order_frequency,loyalty_program,food_temperature,food_freshness,packaging_quality,food_condition,customer_satisfaction,small_route,bike_friendly_route,route_type,route_efficiency,predicted_delivery_mode,traffic_avoidance,,Item,Sample Price (CAD)
c65a8aL,1,Salad,2024-04-12,2024-04-12,11.88,22,187,Walk,High,Sunny,0,15.73,Route_5,ac8fc3f0-d128-4ffa-a5b1-6b803746a392,33,Female,City_8,32,4,Mediterranean,Aegean Table,Weekly,Yes,Warm,3,2,Fair,5,FALSE,FALSE,Car-only,0.453325406,Car,No,,,
387becY,1,Salad,2024-01-20,2024-01-20,10.19,20,170,Walk,High,Rainy,0,13.38,Route_5,9fbfc572-7abc-46f6-abd7-1d011bb747d5,22,Female,City_4,43,5,Mediterranean,Aegean Table,Monthly,Yes,Hot,2,4,Good,3,TRUE,TRUE,Bike-friendly,0.57157456,Car,No,,,
4d1cbdC,1,Salad,2024-09-16,2024-09-16,4.06,6,51,Car,Medium,Rainy,0,18.31,Route_3,7e6eae0f-6659-44b2-9c46-c0323f2a1bef,55,Female,City_1,25,5,Mediterranean,Aegean Table,Weekly,No,Warm,1,3,Good,5,FALSE,FALSE,Bike-friendly,0.145025507,Car,No,,,
ad70abH,1,Soup,2024-01-03,2024-01-03,8.65,25,137.5,Car,Low,Snowy,0,3.24,Route_2,cc723c18-f538-43b0-ab28-e89c6dd4c1bf,54,Other,City_8,42,1,Mediterranean,Aegean Table,Weekly,No,Hot,2,3,Good,1,FALSE,TRUE,Mixed,0.870440682,Bike,Yes,,,
2e2264S,1,Soup,2024-02-05,2024-02-05,2.51,22,121,Walk,Low,Snowy,0,12.11,Route_2,bdf80340-7f14-4862-aafc-757b74c95ad9,31,Female,City_9,41,4,Mediterranean,Aegean Table,Monthly,No,Warm,5,2,Good,4,TRUE,FALSE,Car-only,0.450756819,Car,No,,,
d67613S,1,Soup,2024-04-06,2024-04-06,3.16,7,38.5,Bike,Medium,Snowy,0,16.01,Route_5,00367033-25ca-447c-a98f-4d32c5204ebe,41,Other,City_4,29,4,Mediterranean,Aegean Table,Weekly,No,Cold,5,2,Poor,3,TRUE,TRUE,Mixed,0.646132641,Bike,No,,,
679cb1D,1,Soup,2024-09-24,2024-09-24,2.04,8,44,Bike,Medium,Sunny,0,2.84,Route_5,a3202ec4-5e5d-4c59-80de-35622ac4810e,44,Other,City_1,34,5,Mediterranean,Aegean Table,Weekly,Yes,Hot,1,3,Good,3,TRUE,FALSE,Bike-friendly,0.141326497,Car,No,,,
5671e7X,1,Soup,2024-02-15,2024-02-15,14.67,16,88,Walk,High,Rainy,0,18.31,Route_5,180520aa-9029-4b3e-97a9-6153ac37697f,25,Other,City_8,3,2,Mediterranean,Aegean Table,Monthly,No,Cold,1,2,Poor,5,FALSE,TRUE,Car-only,0.671566452,Car,No,,,
a64f9cP,1,Soup,2024-02-21,2024-02-21,10.63,4,22,Walk,Low,Snowy,0,11.42,Route_1,6e1bd2e2-f628-4387-8303-77691a149fdb,28,Female,City_8,10,2,Mediterranean,Aegean Table,Weekly,Yes,Hot,4,5,Poor,4,FALSE,TRUE,Car-only,0.101011848,Car,No,,,
83f867B,1,Salad,2024-08-07,2024-08-07,11.68,16,136,Car,Medium,Snowy,0,2.61,Route_4,c9ae3af9-0d63-440a-a681-a4615473d217,29,Female,City_4,25,1,Mediterranean,Aegean Table,Weekly,Yes,Cold,4,1,Poor,4,TRUE,TRUE,Bike-friendly,0.615301947,Bike,No,,,
